Diamond Style(English),Diamond Style(中文),,Setting Style(English),Setting Style(中文),,Mounting Style(English),Mounting Style(中文),,Band Style(English),Band Style(中文),,,,,,,
Solitaire,单钻,,Four-Prong,四爪镶,,Cathedral,,,Plain,,,,,,,,
Halo,单钻＋一圈碎钻,,Six-Prong,六爪镶,,Basket,,,Pavé,,,,,,,,
Three-Stone ,三石款,,Double Claw,双爪镶,,Tulip,,,Knife Edge,,,,,,,,
Side Stone,侧边有钻,,,,,Hidden Halo,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Suggested Style,reference link,images,,,reference link,images,,reference link,images,,,,,,,,
Solitaire,,,,Halo,,,Three Stone,,,,,,,,,,
Plain Band,,,,,,,Classic Four-Prong Three Stone,https://www.brilliantearth.com/Opera-Three-Stone-Diamond-Ring-White-Gold-BE1D5320-8032928/,https://image.brilliantearth.com/media/diamond_ring_vto/5P/BE1D5320_white_Round_top_2_carat.png｜https://image.brilliantearth.com/media/carat_image/1C/BE1D5320_EM_200ct_white_side1.jpg｜https://image.brilliantearth.com/media/carat_image/AA/BE1D5320_EM_200ct_white_side2.jpg,,,,,,,,
,,,,,,,Classic Four-Prong Hidden Halo Three Stone,https://www.brilliantearth.com/Adorned-Opera-Three-Stone-Diamond-Ring-(1/2-ct.-tw.)-Gold-BE1D322-12694822/,https://image.brilliantearth.com/media/diamond_ring_vto/34/BE1D322_yellow_Emerald_top_2_carat.png｜https://image.brilliantearth.com/media/carat_image/53/BE1D322_EM_200ct_yellow_side1.jpg｜https://image.brilliantearth.com/media/carat_image/C0/BE1D322_EM_200ct_yellow_side2.jpg,,,,,,,,
Classic Six-Prong Solitaire,https://www.brilliantearth.com/Classic-Six-Prong-Solitaire-Ring-White-Gold-BE121H6-1151509/,https://image.brilliantearth.com/media/diamond_ring_vto/HT/BE121H6_white_Round_top_2_carat.png｜https://image.brilliantearth.com/media/carat_image/36/BE121H6_RD_200ct_white_side1.jpg｜https://image.brilliantearth.com/media/carat_image/65/BE121H6_RD_200ct_white_side2.jpg,,Halo,https://www.brilliantearth.com/Vienna-Halo-Diamond-Ring-White-Gold-BE1D2111-3958098/,https://image.brilliantearth.com/media/diamond_ring_vto/VE/BE1D2111_white_Round_top_2_carat.png｜https://image.brilliantearth.com/media/carat_image/5D/BE1D2111_RD_200ct_white_side1.jpg,Classic Four-Prong Side Stone,https://www.brilliantearth.com/Symphony-Tapered-Baguette-Three-Stone-Diamond-Ring-(1/2-ct.-tw.)-White-Gold-BE1D879-12137289/,https://image.brilliantearth.com/media/diamond_ring_vto/QZ/BE1D879_white_Emerald_top_2_carat.png｜https://image.brilliantearth.com/media/carat_image/E1/BE1D879_EM_200ct_white_side1.jpg｜https://image.brilliantearth.com/media/carat_image/61/BE1D879_EM_200ct_white_side2.jpg,,,,,,,,
Classic Four-Prong Solitaire,https://www.bluenile.com/complete-jewel?j=17747604&s=11247872&utm_source=google&utm_medium=sem_unbranded_shopping&utm_campaign=semus_bn_google_us_engagement_engagement&utm_term=Natural_Engagement_Rings&utm_content=754884800603&gad_source=1&gad_campaignid=20398587011&gbraid=0AAAAAD_EjsjCNY_rUqDpgzv0YQF9TS4Na&gclid=Cj0KCQjwxvjRBhC2ARIsAI7KJa2Ow8sgzFq8phere0YKmg95n1J0hIXqTLh7JCXLYOIMqdFMewNInKUaAlbfEALw_wcB,https://image.brilliantearth.com/media/diamond_ring_vto/OB/BE1343_white_Oval_top_2_carat.png,,,,,,,,,,,,,,,
Four-Prong Cathedral Solitaire,https://www.brilliantearth.com/Elodie-Cathedral-Solitaire-Ring-14K-White-Gold-BE1761-76788366/?utm_source=google&utm_medium=cpc&utm_campaign=SEM_PLA_US_ER_Conversion&utm_content=733311247350&gad_source=1&gad_campaignid=22248316004,https://image.brilliantearth.com/media/diamond_ring_vto/3D/BE1761_white_Round_top_2_carat.png｜https://image.brilliantearth.com/media/carat_image/4D/BE1761_RD_200ct_white_side1.jpg｜https://image.brilliantearth.com/media/carat_image/21/BE1761_RD_200ct_white_side2.jpg,,,,,,,,,,,,,,,
Six-Prong Cathedral Solitaire,https://www.brilliantearth.com/Elodie-Cathedral-Solitaire-Ring-Platinum-BE1761-25378093/,https://image.brilliantearth.com/media/diamond_ring_vto/B1/BE1761_white_Marquise_top_2_carat.png｜https://image.brilliantearth.com/media/carat_image/7A/BE1761_MQ_200ct_white_side1.jpg｜https://image.brilliantearth.com/media/carat_image/AA/BE1761_MQ_200ct_white_side2.jpg,,,,,,,,,,,,,,,
Four-Prong Basket Solitaire,https://www.brilliantearth.com/Audrey-Perfect-Fit-1.4mm-Solitaire-Ring-14K-White-Gold-BE17652-76820235/,https://image.brilliantearth.com/media/diamond_ring_vto/81/BE17652_white_Round_top_2_carat.png｜https://image.brilliantearth.com/media/carat_image/B7/BE17652_RD_200ct_white_side1.jpg｜https://image.brilliantearth.com/media/carat_image/B5/BE17652_RD_200ct_white_side2.jpg,,,,,,,,,,,,,,,
Four-Prong Hidden Halo Solitaire,https://www.brilliantearth.com/Audrey-Perfect-Fit-Hidden-Halo-1.4mm-Diamond-Ring-14K-White-Gold-BE1D17653-76785919/?utm_source=google&utm_medium=cpc&utm_campaign=SEM_PLA_US_ER_Conversion&utm_content=733311247350&gad_source=1&gad_campaignid=22248316004,https://image.brilliantearth.com/media/diamond_ring_vto/ZL/BE1D17653_yellow_Princess_top_2_carat.png｜https://image.brilliantearth.com/media/carat_image/D0/BE1D17653_PR_200ct_yellow_side1.jpg｜https://image.brilliantearth.com/media/carat_image/E9/BE1D17653_PR_200ct_yellow_side2.jpg,,,,,,,,,,,,,,,
